ID,Posted at,Screen name,Text
403164660570275841,2013-11-20 14:15:20 -0500,TwoHeadlines,"On Jennifer Lawrence, Iranian foreign minister in public message over nuclear program"
403149555023486976,2013-11-20 13:15:18 -0500,TwoHeadlines,"Russia vs. Miami Heat: It's the Arctic, stupid."
403134455235485696,2013-11-20 12:15:18 -0500,TwoHeadlines,South Africa Gold Corp Announces the Commencement of the Diamond Jim ...
403119358500962304,2013-11-20 11:15:19 -0500,TwoHeadlines,"Trey Radel Z50 with quad-core processor tipped for Q3 2014, BlackBerry Q30 a ..."
403104256129253376,2013-11-20 10:15:18 -0500,TwoHeadlines,Black Friday Pregnant With First Child
403089156211216384,2013-11-20 09:15:18 -0500,TwoHeadlines,"NeNe Leakes, Western Union, and Abercrombie & Fitch All Stumble"
403074055760531456,2013-11-20 08:15:18 -0500,TwoHeadlines,California dad wants Brittany Murphy Maps image of dead son removed
403058955750223872,2013-11-20 07:15:18 -0500,TwoHeadlines,"10 reasons why John Cleese, Eric Idle, Michael Palin and the China ..."
403043855760912384,2013-11-20 06:15:18 -0500,TwoHeadlines,What Kind of Pitcher Can Xbox One Be for the SF Giants Post-Ankle Injury?
403028761064779776,2013-11-20 05:15:19 -0500,TwoHeadlines,Stephen Weiss injury update: Broadway theatre forward aiming for return this ...
403013656398794752,2013-11-20 04:15:17 -0500,TwoHeadlines,Adam Levine to launch Three-Sided Wrapped Curved Display Phone
402998558498246656,2013-11-20 03:15:18 -0500,TwoHeadlines,"Howard Webb won't fall for The Strain's tricks, claims Sebastian Larsson"
402983457175121920,2013-11-20 02:15:17 -0500,TwoHeadlines,Voter Turnout in FIFA World Cup Is Heavy Despite Violence
402968357210963968,2013-11-20 01:15:17 -0500,TwoHeadlines,Russian court grants bail to more Brittany Murphy activists
402953257058054146,2013-11-20 00:15:17 -0500,TwoHeadlines,Florida Republican Congressman Nokia charged with cocaine possession
402938165742546945,2013-11-19 23:15:19 -0500,TwoHeadlines,Afghanistan reunion: 10 best sketches
402923057825980416,2013-11-19 22:15:17 -0500,TwoHeadlines,Lady Gaga to Open First DC Stores Dec. 4
402907981882597376,2013-11-19 21:15:23 -0500,TwoHeadlines,"Virginia State Sen. Tesla Motors Stabbed, Son Shot to Death"
402892861173006336,2013-11-19 20:15:18 -0500,TwoHeadlines,"150 years after Gettysburg Address, JPMorgan Chase shows Lincoln's many rewrites"
402877759766401024,2013-11-19 19:15:17 -0500,TwoHeadlines,Creigh Deeds WR Dez Bryant on playing Santa Claus during bye week: 'Let ...
402862657445036032,2013-11-19 18:15:17 -0500,TwoHeadlines,Justin Bieber (AAPL): Why Apple Will Never Breach $700 Again And Remain There
402847559112486912,2013-11-19 17:15:17 -0500,TwoHeadlines,Shooter on the run in Apple Inc. after second gun attack on journalists within four ...
402840505656299521,2013-11-19 16:47:15 -0500,TwoHeadlines,LeBron James in Talks With 'Good Friend' Jennifer Lawrence About Joining Miami ...
402825404551299072,2013-11-19 15:47:15 -0500,TwoHeadlines,Lebanon blasts hit Iran's embassy in Dropbox
402810306348740608,2013-11-19 14:47:15 -0500,TwoHeadlines,"Dick Cheney, Sprint give students a year of service with phone purchase"
402795205310840832,2013-11-19 13:47:15 -0500,TwoHeadlines,Chris Hedges: Justin Bieber Exposed State's Plan to Criminalize ...
402780104595881984,2013-11-19 12:47:14 -0500,TwoHeadlines,New York Knicks Tornadoes 2013: How To Help Victims Of Massive Midwest Storms
402765005382508544,2013-11-19 11:47:14 -0500,TwoHeadlines,"Dreamforce '13: Tim Hudson, http://t.co/AnVlP7eMgw CEOs trade startup stories"
402749904336199680,2013-11-19 10:47:14 -0500,TwoHeadlines,"Dick Cheney Launch Countdown: Calibrate HDTV, Killer Instinct, Dead Rising 3 ..."
402734803663216640,2013-11-19 09:47:14 -0500,TwoHeadlines,"Tornados Level Homes In Jeremy Hammond Towns, Multiple Deaths Confirmed (PHOTOS)"
402719703711617024,2013-11-19 08:47:14 -0500,TwoHeadlines,Philippines Goes to Washington: The Case for and Against Digital Currency
402704611448201216,2013-11-19 07:47:15 -0500,TwoHeadlines,San Antonio video woman Tati Neves is a porn star: report
402689512591331329,2013-11-19 06:47:16 -0500,TwoHeadlines,"Bharatiya Janata Party's Radio Diss Of Prez Obama: ""I Don't Care If You're The President ..."
402674404259528704,2013-11-19 05:47:13 -0500,TwoHeadlines,Toronto Mayor Alec Baldwin sorry again after knocking down lawmaker
402659307252371457,2013-11-19 04:47:14 -0500,TwoHeadlines,Dallas Zoo Admits To Being On Meds And In Therapy As A Kid!
402644205925048320,2013-11-19 03:47:14 -0500,TwoHeadlines,François Hollande renaming communications school after 'Anchorman' Ron ...
402629104455151616,2013-11-19 02:47:13 -0500,TwoHeadlines,Media giants locked in £500m battle to sponsor Lance Armstrong MLS team
402614005753458688,2013-11-19 01:47:13 -0500,TwoHeadlines,"Even without big birds, there's plenty of turkey for iPad Mini"
402598906628149249,2013-11-19 00:47:13 -0500,TwoHeadlines,Tim McGraw vs San Francisco 49ers: Broadcast Information
402583804453597185,2013-11-18 23:47:13 -0500,TwoHeadlines,"Sans constitution and elected bodies, Carlos Ruiz's not even a nation state: Nischal ..."
402568704422326272,2013-11-18 22:47:13 -0500,TwoHeadlines,Apple reportedly buys company behind JPMorgan Chase's Xbox 360 Kinect sensor
402553605645148160,2013-11-18 21:47:13 -0500,TwoHeadlines,"iPhone, MLB resume grievance hearing"
